x,y
0,-93.376
2,-128.174
4,-115.173
6,-46.591
8,35.161
10,92.173
12,133.255
14,141.447
16,133.079
18,68.621
20,11.983
22,-32.145
24,-57.393
26,-68.721
28,-60.759
30,-44.467
32,-9.305
34,21.757
36,49.879
38,64.551
40,52.803
42,33.005
44,2.747
46,-16.561
48,-37.12
50,-48.248
52,-48.866
54,-44.504
56,-28.652
58,-15.72
60,-2.928
62,11.604
64,16.506
66,16.048
68,10.81
70,3.272
